trial_number;samples;date;latent_dim;learning_rate;base_filters;kernel_size;num_layers;stride_size;pooling_type;activation;norm_type;dropout_rate;batch_size;loss_func;k_folds;Pruned;Avg_Train_MSE;Std_Train_MSE;Avg_Train_RMSE;Std_Train_RMSE;Avg_Train_MAE;Std_Train_MAE;Avg_Train_R2;Std_Train_R2;Avg_Val_MSE;Std_Val_MSE;Avg_Val_RMSE;Std_Val_RMSE;Avg_Val_MAE;Std_Val_MAE;Avg_Val_R2;Std_Val_R2
6;10,000;24-02-2026 20:08;256;0.0005;256;11;4;2;average;relu;batch;0;32;mse;5;False;0.099;0.011;0.314;0.017;0.194;0.01;0.901;0.011;0.222;0.009;0.471;0.009;0.278;0.003;0.778;0.009
57;10,000;25-02-2026 01:53;512;0.001;64;11;2;2;max;leaky_relu;batch;0;128;huber;5;True;0.131;0.014;0.361;0.019;0.212;0.009;0.869;0.014;0.223;0.002;0.472;0.002;0.275;0.001;0.777;0.002
2;10,000;24-02-2026 19:34;128;0.001;64;9;3;3;average;leaky_relu;layer;0;32;mse;5;False;0.127;0.011;0.356;0.015;0.221;0.008;0.873;0.011;0.225;0.004;0.474;0.005;0.278;0.005;0.775;0.005
28;10,000;24-02-2026 23:52;512;0.0005;256;9;4;3;stride;leaky_relu;batch;0.2;16;huber;5;True;0.157;0.012;0.395;0.015;0.228;0.008;0.844;0.012;0.227;0.011;0.476;0.012;0.273;0.006;0.773;0.01
50;10,000;25-02-2026 01:27;1024;0.0005;32;9;3;1;max;relu;batch;0.2;128;huber;5;True;0.112;0.01;0.334;0.015;0.192;0.007;0.888;0.01;0.229;0.003;0.478;0.003;0.268;0.002;0.772;0.003
18;10,000;24-02-2026 22:52;1024;0.001;32;9;3;1;max;relu;batch;0;32;huber;5;True;0.118;0.021;0.342;0.031;0.2;0.015;0.882;0.021;0.232;0.004;0.481;0.004;0.269;0.002;0.768;0.004
38;10,000;25-02-2026 00:45;256;0.001;32;3;3;3;stride;leaky_relu;layer;0;32;huber;5;True;0.145;0.008;0.381;0.01;0.222;0.004;0.855;0.008;0.231;0.006;0.481;0.006;0.271;0.003;0.769;0.006
97;10,000;25-02-2026 04:36;1024;0.001;32;11;3;1;average;leaky_relu;batch;0.1;32;huber;5;True;0.123;0.02;0.35;0.029;0.203;0.015;0.877;0.02;0.232;0.011;0.481;0.012;0.269;0.007;0.768;0.011
0;10,000;24-02-2026 17:49;512;0.0005;256;5;4;2;stride;relu;layer;0.2;16;mse;5;False;0.11;0.016;0.331;0.024;0.202;0.013;0.89;0.016;0.233;0.006;0.482;0.007;0.278;0.006;0.767;0.006
80;10,000;25-02-2026 03:29;128;0.0005;32;9;3;3;max;leaky_relu;batch;0;64;huber;5;True;0.195;0.009;0.442;0.01;0.254;0.005;0.804;0.009;0.236;0.008;0.486;0.008;0.281;0.004;0.763;0.008
66;10,000;25-02-2026 02:33;1024;0.0005;32;9;3;1;average;relu;batch;0;128;mse;5;True;0.074;0.024;0.27;0.041;0.173;0.022;0.926;0.024;0.239;0.004;0.49;0.004;0.282;0.002;0.76;0.004
40;10,000;25-02-2026 00:46;512;0.0005;64;5;2;2;max;relu;layer;0.1;64;huber;5;True;0.107;0.021;0.325;0.033;0.196;0.016;0.893;0.021;0.241;0.004;0.491;0.004;0.282;0.002;0.759;0.003
129;10,000;25-02-2026 07:28;512;0.0005;32;9;3;1;average;leaky_relu;batch;0;32;huber;5;True;0.116;0.026;0.339;0.037;0.2;0.017;0.883;0.026;0.241;0.004;0.491;0.004;0.278;0.002;0.759;0.004
34;10,000;25-02-2026 00:22;128;0.0005;64;9;3;3;max;leaky_relu;layer;0;128;mse;5;True;0.162;0.012;0.402;0.014;0.246;0.006;0.838;0.011;0.243;0.004;0.493;0.004;0.291;0.001;0.756;0.003
25;10,000;24-02-2026 23:31;512;0.0005;32;9;3;1;max;leaky_relu;batch;0;128;huber;5;True;0.138;0.01;0.37;0.014;0.216;0.007;0.862;0.01;0.244;0.005;0.494;0.005;0.281;0.003;0.756;0.005
78;10,000;25-02-2026 03:21;512;0.0005;32;9;3;1;average;leaky_relu;layer;0;128;huber;5;True;0.12;0.01;0.347;0.014;0.202;0.007;0.879;0.01;0.249;0.003;0.499;0.003;0.279;0.002;0.751;0.003
67;10,000;25-02-2026 02:45;128;0.0005;32;9;3;3;max;leaky_relu;layer;0.1;64;huber;5;True;0.189;0.003;0.435;0.003;0.248;0.001;0.811;0.003;0.25;0.002;0.5;0.002;0.284;0.001;0.749;0.002
117;10,000;25-02-2026 06:34;128;0.0005;32;9;3;3;average;relu;batch;0.2;32;mse;5;True;0.193;0.009;0.439;0.011;0.262;0.006;0.807;0.009;0.25;0.004;0.5;0.004;0.293;0.002;0.75;0.003
68;10,000;25-02-2026 02:46;256;0.001;256;3;3;3;stride;leaky_relu;batch;0;128;huber;5;True;0.15;0.016;0.387;0.02;0.222;0.009;0.85;0.016;0.262;0.003;0.512;0.003;0.288;0.002;0.738;0.002
86;10,000;25-02-2026 03:54;256;0.0005;32;9;2;3;max;leaky_relu;batch;0;128;huber;5;True;0.184;0.006;0.429;0.007;0.245;0.003;0.816;0.006;0.273;0.007;0.522;0.006;0.305;0.003;0.727;0.007
1;10,000;24-02-2026 19:25;256;0.0005;64;3;2;2;stride;relu;layer;0.1;16;mse;5;False;0.122;0.011;0.349;0.015;0.224;0.008;0.878;0.011;0.318;0.008;0.564;0.007;0.323;0.005;0.682;0.008
49;10,000;25-02-2026 01:17;128;0.0005;256;3;3;3;max;leaky_relu;batch;0;128;huber;5;True;0.193;0.018;0.439;0.021;0.256;0.011;0.807;0.018;0.325;0.009;0.57;0.008;0.329;0.003;0.674;0.009
139;10,000;25-02-2026 08:17;128;0.0005;32;7;3;2;average;relu;batch;0.2;32;mse;5;True;0.204;0.013;0.451;0.014;0.274;0.008;0.796;0.013;0.361;0.007;0.601;0.006;0.35;0.003;0.639;0.006
8;10,000;24-02-2026 22:03;128;0.001;128;5;3;2;max;relu;layer;0.1;128;huber;5;True;0.208;0.012;0.456;0.013;0.26;0.008;0.792;0.012;0.375;0.014;0.612;0.011;0.339;0.005;0.625;0.014
19;10,000;24-02-2026 23:18;128;0.0005;32;9;2;3;stride;leaky_relu;batch;0.2;16;huber;5;True;0.244;0.016;0.493;0.016;0.277;0.008;0.756;0.016;0.401;0.018;0.633;0.014;0.347;0.008;0.598;0.017
