Train_Size,Val_RMSE,Val_R2
50000,0.307,0.906
30000,0.332,0.89
15000,0.377,0.858
6000,0.456,0.792
3000,0.523,0.726
2000,0.576,0.668
1300,0.654,0.572
800,0.734,0.461
600,0.8,0.36
450,0.873,0.237
350,0.879,0.227
200,0.962,0.074
100,1.002,-0.005
50,1.015,-0.031
